"model","year","transmission","mileage","fuelType","tax","mpg","engineSize","price"
3,2016,3,29978,2,160,51.4,3,18000
5,2018,3,29482,2,145,53.3,3,27980
4,2016,1,10,1,160,46.3,2,24980
4,2017,2,10,1,200,41.5,3,41990
16,2017,1,10,2,20,68.9,2,25990
16,2017,3,10,1,160,44.8,2,30980
1,2017,1,10,1,125,53.3,1.5,19490
21,2020,3,2950,2,150,34.9,3,49975
2,2019,3,3013,2,150,64.2,2,23975
4,2019,3,3783,2,150,49.6,3,28975
3,2020,3,12,2,145,48.7,2,32475
5,2020,3,12,3,145,49.6,2,32475
3,2020,3,12,2,145,48.7,2,33475
21,2020,3,1075,1,150,26.4,3,54975
17,2018,3,10500,2,145,61.4,2,22470
3,2015,3,81455,2,200,49.6,3,14998
3,2018,3,17810,2,145,60.1,2,21998
3,2018,3,17686,2,145,64.2,2,19498
17,2019,3,10,1,145,38.7,2,27990
20,2017,2,10,2,145,47.1,3,55990
2,2017,1,10,2,145,64.2,2,21990
2,2017,3,10,1,145,52.3,1.5,20990
3,2019,1,3055,2,145,54.3,2,26450
3,2019,1,3093,2,145,54.3,2,26450
16,2017,3,28005,2,125,57.6,2,20375
1,2016,1,10,2,20,68.9,2,20990
4,2019,3,11,2,145,65.7,2,23450
5,2019,3,12,2,145,53.3,3,35790
5,2019,3,12,2,145,53.3,3,35790
21,2020,3,3955,2,145,34.9,3,57990
20,2020,3,5656,2,145,37.7,3,48490
1,2017,3,11932,1,145,39.8,3,20975
3,2019,3,4675,1,145,40.9,2,31440
3,2019,3,5749,1,145,47.9,2,23975
16,2019,1,6786,1,145,51.4,1.5,24775
18,2019,3,2715,2,145,54.3,2,32975
5,2020,3,11,1,145,52.3,2,26990
1,2018,1,12879,1,145,53.3,1.5,16275
17,2019,3,5177,2,145,48.7,2,27275
3,2019,1,3368,2,145,64.2,2,24775
1,2015,1,26845,2,0,78.5,1.5,9730
16,2016,2,32123,2,125,57.6,2,17410
16,2016,2,42761,2,145,55.4,2,17207
3,2014,3,69382,2,125,57.6,3,11000
5,2013,2,77262,2,125,60.1,2,10037
2,2018,1,11198,1,145,42.2,1.5,16419
3,2019,1,3758,2,145,64.2,2,24775
3,2019,1,4026,2,145,64.2,2,23990
3,2019,3,3097,1,145,41.5,2,31390
20,2019,3,10776,2,145,37.7,3,44790
1,2019,3,7110,1,150,34.5,2,28975
3,2019,3,3119,1,150,42.2,2,25975
18,2019,3,6436,2,150,36.7,3,38975
3,2019,3,8856,2,150,52.3,2,27975
19,2019,3,10395,2,150,42.8,2,35480
2,2020,3,18,2,150,49.6,2,23990
2,2020,3,12,1,150,50.4,1.5,21890
4,2020,3,14,2,145,65.7,2,25980
3,2013,2,83944,2,125,60.1,2,9200
3,2019,3,5494,1,145,41.5,2,31275
3,2019,3,10361,2,145,62.8,2,24275
4,2019,3,10535,2,145,65.7,2,24775
5,2019,3,7585,2,145,65.7,2,26275
5,2019,3,12900,2,145,53.3,3,33775
5,2019,3,2013,2,145,60.1,2,28975
16,2019,3,3911,1,145,38.7,2,28790
4,2020,3,12,2,150,65.7,2,25775
1,2014,1,38000,2,30,65.7,2,10975
3,2019,3,3977,1,145,43.5,2,25950
5,2019,3,8324,2,145,65.7,2,26350
3,2020,3,3656,2,150,50.4,2,30990
3,2020,3,6565,1,150,42.2,2,27990
17,2020,3,6565,2,150,58.9,2,28490
1,2020,3,6565,2,150,51.4,2,25450
16,2020,3,5656,2,150,47.9,2,25490
17,2020,1,15,2,150,55.4,2,23990
20,2020,3,9998,2,145,37.7,3,48975
2,2020,3,12,2,145,51.4,2,26475
3,2020,3,14,2,150,60.1,2,26490
3,2019,1,1254,2,145,54.3,2,29975
3,2019,1,3377,2,145,54.3,2,27275
2,2019,1,12,1,145,42.2,1.5,22275
3,2019,3,5800,2,145,52.3,2,28775
3,2019,1,3043,2,145,64.2,2,24775
13,2019,3,8787,1,145,34,3,39275
13,2019,3,9403,1,145,32.5,3,42275
3,2018,3,10548,1,145,46.3,2,24475
3,2018,3,12,1,145,48.7,2,24790
3,2018,3,12,2,145,57.7,2,27490
16,2019,3,6908,1,145,40.9,1.5,25450
18,2019,3,11,2,145,54.3,2,34440
17,2020,3,10,1,145,43.5,1.5,22980
3,2020,3,9,2,145,51.4,2,29990
17,2020,3,14,1,145,34,2,34450
5,2020,3,8,3,145,60.1,2,31450
5,2020,3,6,3,145,49.6,2,29950
18,2020,3,4773,2,150,48.7,3,39990
3,2014,1,51122,2,30,62.8,2,12475
2,2020,3,10,2,150,47.1,2,26490
4,2018,3,18243,1,145,48.7,2,22275
2,2019,1,34,2,145,60.1,2,23775
2,2019,1,10,2,145,51.4,2,22775
5,2019,3,12,1,145,48.7,2,31475
4,2019,3,11,2,145,51.4,3,33975
4,2019,3,13,1,145,45.6,2,24275
4,2019,3,12,1,145,45.6,2,24275
4,2019,3,13,1,145,45.6,2,23975
17,2018,1,12,2,145,52.3,2,28990
18,2018,3,12,2,145,54.3,2,39650
5,2019,3,14345,2,145,65.7,2,26350
16,2019,3,4575,2,145,60.1,2,25999
16,2019,3,2974,2,145,60.1,2,25999
4,2016,3,10545,2,30,65.7,2,18475
4,2017,3,29819,2,145,50.4,3,23475
19,2019,3,5450,1,145,26.9,3,40775
13,2019,3,19,1,145,34,3,43950
3,2019,3,2760,2,145,62.8,2,23980
1,2019,3,5882,1,145,54.3,1.5,18450
16,2019,3,5863,1,145,46.3,1.5,25450
5,2014,3,51716,2,30,62.8,2,13775
2,2019,3,10570,1,145,47.9,2,21775
5,2015,3,29060,2,145,53.3,3,17970
2,2019,3,8878,1,145,47.9,2,21775
16,2018,3,16719,2,145,60.1,2,21975
16,2017,3,14063,1,160,44.8,2,20975
3,2020,3,12,1,150,41.5,2,29990
3,2020,1,5,2,145,56.5,2,23990
5,2020,3,10,1,145,39.2,3,43990
3,2020,3,23,1,145,42.2,2,23850
18,2019,3,6570,1,145,34.5,3,47440
3,2015,3,35365,2,145,57.6,2,16799
3,2015,1,61062,2,125,60.1,2,13275
3,2017,3,14714,2,160,51.4,3,21275
3,2015,1,41655,2,30,64.2,2,13975
21,2016,3,27838,2,200,47.1,3,29890
1,2018,1,12800,2,145,50.4,1.5,17975
3,2020,1,16,2,145,56.5,2,23990
3,2020,3,10,2,145,52.3,2,24850
4,2014,3,17500,1,160,44.8,2,16475
17,2020,3,10,1,145,42.8,1.5,30990
4,2020,3,9,2,145,47.9,3,38990
5,2020,3,10,2,145,60.1,3,36990
5,2020,3,12,3,145,62.8,2,32850
6,2016,3,28684,2,160,51.4,3,21975
1,2019,3,12011,2,145,65.7,2,18999
3,2019,3,5367,2,145,52.3,2,28950
1,2018,1,10842,2,145,65.7,2,16775
20,2019,3,8105,2,145,37.7,3,46950
4,2019,3,9,2,145,65.7,2,23750
4,2018,3,18165,1,145,48.7,2,21975
5,2019,3,3905,2,145,55.4,2,27875
3,2015,3,39000,1,200,41.5,3,20440
7,2019,3,1075,2,145,41.5,3,47975
5,2019,3,6865,2,145,60.1,2,27998
1,2019,3,11602,2,145,67.3,2,19498
3,2017,3,43678,2,150,60.1,2,15498
3,2015,2,35219,2,145,56.5,3,16410
21,2013,3,63592,2,325,36.7,3,20510
7,2014,2,78094,2,160,50.4,3,13600
2,2017,1,36045,2,0,74.3,1.5,13991
1,2014,3,57617,2,125,60.1,2,12111
3,2016,3,43482,2,30,64.2,2,15030
3,2017,1,37676,2,30,64.2,2,12791
5,2018,2,28869,1,145,37.7,3,26691
4,2016,1,30055,2,145,55.4,2,17999
16,2013,1,26642,1,200,40.9,2,10995
3,2019,3,5185,2,145,44.1,3,31880
3,2016,3,22834,2,160,51.4,3,20480
20,2016,2,68854,2,200,47.1,3,24980
3,2013,1,36494,2,20,68.9,2,10480
3,2017,3,41816,2,145,64.2,2,19490
18,2018,3,18327,2,145,48.7,3,33980
18,2019,2,7164,2,145,56.5,2,29480
18,2016,3,46389,2,145,54.3,2,22980
16,2017,3,16717,2,145,60.1,2,20980
3,2019,3,1204,2,145,49.6,2,30990
3,2019,3,11103,2,145,52.3,2,27480
4,2019,3,110,2,145,60.1,2,24250
2,2019,3,9503,2,145,49.6,2,19975
5,2019,3,11114,2,145,65.7,2,25990
3,2016,1,51379,2,20,68.9,2,12480
19,2019,3,6747,1,145,26.9,3,41980
4,2019,3,8722,2,145,53.3,3,26990
2,2019,2,8556,2,145,52.3,2,19880
2,2019,3,11362,1,145,40.9,1.5,19980
16,2020,3,19,2,145,60.1,2,25980
24,2020,3,10,1,145,38.7,2,29980
1,2019,2,7314,2,145,65.7,2,21490
2,2019,1,6521,2,145,60.1,2,22480
3,2019,3,5090,1,145,45.6,2,27480
5,2019,3,8601,1,145,50.4,2,26480
4,2019,3,6917,2,145,65.7,2,24980
3,2019,3,7264,2,145,48.7,2,26990
3,2019,3,1984,2,145,48.7,2,27890
16,2019,1,3228,1,145,51.4,1.5,24550
20,2018,3,5321,2,145,36.7,3,44990
8,2018,3,3891,1,145,26.9,4.4,63980
5,2019,3,12182,2,145,65.7,2,27780
1,2017,1,21491,1,260,36.2,3,18290
2,2019,3,682,1,145,47.9,2,22990
1,2020,1,1905,1,145,44.1,1.5,21450
19,2019,2,5789,1,145,26.9,3,41850
3,2019,3,3766,1,145,34.9,3,37980
3,2019,3,5023,1,145,45.6,2,27980
3,2019,3,5470,1,145,34.9,3,37980
3,2019,1,3378,2,145,64.2,2,24450
3,2019,1,2912,2,145,64.2,2,24450
3,2019,1,4710,2,145,54.3,2,23990
3,2019,1,102,2,145,54.3,2,26440
17,2019,3,1702,2,145,47.9,2,24990
17,2019,1,103,2,145,53.3,2,26790
2,2019,3,1290,1,145,50.4,1.5,20990
18,2019,3,5651,2,145,36.7,3,41450
3,2018,3,17240,2,145,51.4,3,23890
13,2017,3,1336,1,145,33.2,3,89990
3,2019,1,3973,2,145,64.2,2,24450
3,2019,3,6941,1,145,42.2,2,24980
1,2016,2,41081,2,0,74.3,2,11980
16,2019,3,7895,1,145,40.9,1.5,24480
1,2016,2,28883,2,20,67.3,2,15480
4,2019,2,5577,2,145,55.4,3,25980
1,2019,2,11303,2,145,48.7,2,19980
4,2019,1,115,1,145,46.3,2,22450
4,2019,3,8128,2,145,65.7,2,24450
2,2018,3,21688,2,145,56.5,1.5,16890
2,2019,3,9683,2,145,57.7,2,23450
7,2019,3,4884,2,145,41.5,3,52990
16,2019,1,4957,1,145,51.4,1.5,24550
5,2019,3,101,2,145,53.3,3,34990
1,2019,3,4834,2,145,67.3,2,20875
1,2020,1,1524,1,145,44.1,1.5,23450
1,2020,1,1182,2,145,53.3,2,25890
2,2016,1,16600,2,20,68.9,2,13480
4,2019,2,5000,1,145,41.5,3,32880
3,2019,3,22095,2,145,52.3,2,25350
3,2019,3,9389,2,145,49.6,2,33875
2,2019,3,9408,1,145,47.9,2,21945
1,2019,1,6756,2,145,65.7,2,17980
1,2019,1,5650,2,145,65.7,2,18975
1,2019,3,7044,2,145,67.3,2,19875
1,2019,1,4168,1,145,52.3,1.5,19475
1,2019,1,3423,2,145,70.6,1.5,18990
1,2020,1,1054,1,145,41.5,1.5,23450
22,2019,3,6506,2,145,31.4,3,77880
4,2020,3,110,1,145,41.5,3,30990
10,2015,2,43102,3,0,134.5,1.5,42890
1,2017,1,19484,2,145,72.4,1.5,13980
1,2019,1,5303,2,145,65.7,2,19975
1,2019,1,3382,2,145,70.6,1.5,18675
1,2019,1,5230,2,145,68.9,2,17480
3,2019,2,6129,2,145,50.4,2,28980
1,2016,3,17533,1,30,58.9,1.5,13980
2,2019,1,8494,2,145,64.2,2,21980
17,2018,1,18440,2,145,55.4,2,19240
3,2014,1,16376,2,30,62.8,2,13980
5,2019,2,6000,2,145,53.3,3,33980
3,2019,2,5000,2,145,52.3,2,27980
7,2016,2,8814,1,300,35.3,4.4,35480
2,2019,3,112,1,145,47.9,2,23480
5,2019,3,114,1,145,48.7,2,31875
1,2019,3,5954,2,145,67.3,2,20875
4,2019,3,10,2,145,51.4,3,33890
4,2019,2,11,2,145,51.4,3,33880
4,2019,3,120,2,145,60.1,2,23990
2,2019,3,11,1,145,50.4,1.5,21480
19,2019,3,10755,2,145,42.8,2,35480
3,2019,3,5246,1,145,47.9,2,24690
3,2019,3,1051,1,145,47.9,2,23980
3,2019,3,2480,1,145,47.9,2,23980
2,2017,2,27201,2,145,64.2,2,16698
1,2014,1,50026,1,305,35.3,3,13798
2,2019,1,110,1,145,52.3,1.5,20750
2,2019,1,10,1,145,42.8,1.5,20450
3,2014,1,21798,2,20,68.9,2,11698
3,2016,3,33087,2,160,51.4,3,18998
2,2017,3,38576,2,145,68.9,1.5,14998
1,2017,3,18836,1,150,39.8,3,21498
7,2017,3,22879,1,205,40.4,3,30998
1,2016,3,38964,1,205,39.8,3,18498
3,2019,3,11904,2,145,60.1,2,24998
1,2019,3,7222,1,150,47.9,2,19998
3,2019,3,8196,2,145,62.8,2,24450
3,2019,1,1122,2,145,60.1,2,22990
4,2019,3,9529,2,145,60.1,2,27990
3,2019,3,1951,2,145,52.3,2,28450
4,2019,3,3516,1,145,48.7,2,25490
5,2019,3,2096,2,145,53.3,3,33890
4,2019,3,2924,1,145,48.7,2,26450
13,2019,3,7603,1,145,32.5,3,39990
4,2019,3,11324,2,145,65.7,2,24975
5,2019,3,10389,2,145,65.7,2,26790
5,2019,3,11301,2,145,65.7,2,26350
16,2019,3,7549,1,145,40.9,1.5,25450
1,2017,3,39714,2,145,67.3,2,13995
2,2019,3,10199,1,145,47.9,2,21590
1,2017,1,21344,2,145,62.8,2,16480
16,2019,3,7970,1,145,46.3,1.5,21480
1,2020,1,2400,1,145,44.1,1.5,23450
1,2014,1,71301,1,300,35.3,3,12991
4,2014,1,50757,1,165,46.3,2,11991
3,2014,2,31098,2,30,62.8,2,13950
5,2019,3,4447,1,145,50.4,2,23775
1,2019,3,2406,2,145,68.9,1.5,18875
19,2018,3,12,2,145,42.8,2,43990
3,2019,3,12,2,145,64.2,2,24440
3,2019,3,12,2,145,60.1,2,24440
1,2019,3,12,1,145,39.8,3,29790
1,2019,3,12,1,145,39.8,3,29880
5,2018,3,12,2,145,49.6,2,30990
1,2019,1,8359,2,145,72.4,1.5,15980
2,2019,3,8027,1,145,38.2,3,29975
4,2019,1,8293,2,145,62.8,2,23775
5,2019,3,579,2,145,60.1,2,31775
24,2019,3,8004,1,145,37.2,2,34980
5,2019,3,6110,2,145,65.7,2,26790
16,2018,3,10708,2,145,60.1,2,21980
3,2020,3,1125,2,145,50.4,2,32990
7,2019,3,7315,2,145,42.2,3,48995
3,2019,3,6038,1,145,42.2,2,27450
18,2019,3,2538,2,145,54.3,2,33990
3,2019,3,20671,1,150,51.4,1.5,17480
3,2019,3,22539,1,150,51.4,1.5,17480
3,2019,3,20000,1,150,47.9,2,21590
3,2019,3,23000,1,150,44.8,2,21590
1,2020,1,1104,2,145,53.3,2,23590
16,2017,3,25725,2,145,55.4,2,20450
11,2019,3,4358,1,145,29.1,3,44990
3,2019,3,8389,1,145,47.9,2,23990
3,2016,3,45252,2,30,65.7,2,13890
20,2019,3,2754,2,145,37.7,3,46990
4,2019,3,10831,2,145,65.7,2,24450
13,2015,1,27489,1,325,31,3,27590
2,2014,3,35000,2,30,65.7,2,11990
18,2017,3,64648,2,145,54.3,2,17380
2,2018,3,4172,1,145,47.9,2,20380
3,2019,3,26000,1,150,47.9,2,21590
3,2019,3,23000,1,150,44.8,2,21590
3,2019,3,23000,1,150,47.9,2,21590
3,2019,3,27000,1,150,47.9,2,21590
4,2019,3,22000,1,150,48.7,2,19890
4,2018,3,17000,1,150,48.7,2,20590
3,2019,3,6012,2,150,52.3,2,26480
3,2019,3,6486,1,150,42.2,2,25900
16,2013,3,63993,2,160,52.3,2,10295
4,2015,2,47822,2,30,65.7,2,15995
16,2016,3,34813,2,145,55.4,2,17998
1,2017,3,25630,1,145,39.8,3,21498
6,2019,3,8004,2,145,47.9,3,35980
18,2019,3,8088,2,145,54.3,2,35980
5,2018,3,19504,2,145,46.3,2,26220
20,2020,3,500,2,145,37.7,3,59993
2,2020,3,500,2,145,67.3,2,28993
17,2020,3,500,1,145,38.7,2,29993
1,2019,1,2985,1,150,44.1,1.5,20980
1,2019,1,6553,1,150,44.1,1.5,20980
2,2017,1,47301,2,20,74.3,1.5,12900
16,2017,1,39460,2,150,68.9,2,14600
16,2017,1,41334,2,20,68.9,2,14600
18,2019,3,6231,2,145,54.3,2,29980
1,2019,1,7913,1,145,53.3,1.5,15940
4,2019,3,7217,2,145,47.9,3,31480
1,2015,1,27411,1,305,35.3,3,16491
17,2019,3,14352,1,150,34,2,30700
3,2017,3,27500,2,145,56.5,3,20999
2,2020,3,500,2,145,47.1,2,32993
18,2020,3,500,2,145,54.3,2,39993
19,2020,3,500,1,145,26.9,3,48993
24,2020,3,603,1,145,38.7,2,33993
2,2019,3,3422,2,145,65.7,2,20450
3,2019,1,5567,2,145,56.5,2,22480
3,2019,3,12991,2,145,48.7,2,24475
7,2019,3,4279,2,145,41.5,3,51990
22,2019,3,6331,1,145,24.8,3,67990
4,2019,3,112,1,145,45.6,2,24940
2,2019,1,110,2,145,60.1,2,23980
3,2013,3,36578,1,160,44.8,2,11430
1,2016,1,13857,1,260,36.2,3,18998
3,2019,1,7441,2,150,54.3,2,28998
3,2018,3,54762,1,150,48.7,2,17998
16,2016,3,11927,2,150,55.4,2,19998
3,2019,3,20410,1,150,48.7,2,17480
4,2018,3,27120,1,150,48.7,2,17980
4,2017,3,28893,2,145,50.4,3,23290
5,2020,3,500,3,145,49.6,2,36993
5,2016,3,25695,2,160,51.4,3,18656
20,2016,2,33541,2,200,47.1,3,29570
3,2016,3,27547,2,150,53.3,3,20391
5,2017,3,11333,2,150,65.7,2,22430
16,2017,3,21293,2,150,60.1,2,19371
4,2019,3,6018,1,145,45.6,2,24390
3,2018,3,26309,2,145,51.4,3,22110
4,2019,3,7350,1,145,48.7,2,26190
1,2017,3,17774,1,200,39.8,3,20990
1,2016,1,26193,1,260,36.2,3,17890
4,2017,3,17329,2,160,50.4,3,23760
2,2019,3,3574,2,145,48.7,2,22600
1,2019,1,4064,2,145,57.7,1.5,24500
3,2015,3,79978,2,160,51.4,3,15541
5,2019,3,1007,3,135,156.9,2,34500
1,2018,3,19062,2,150,44.1,2,15291
1,2016,1,23114,2,20,68.9,2,12741
1,2016,3,17236,2,20,68.9,1.5,14991
5,2019,3,1400,3,135,156.9,2,32250
1,2017,3,8500,1,150,47.9,2,18471
3,2017,3,19462,2,145,56.5,3,22290
22,2019,3,3300,2,145,33.6,3,74140
2,2019,3,4568,2,145,52.3,2,18495
4,2017,3,29607,2,160,50.4,3,22990
1,2019,3,3667,1,145,40.4,1.5,26390
2,2019,3,2801,1,145,47.9,2,23290
4,2019,3,4762,1,145,41.5,3,30991
18,2019,3,1962,2,150,54.3,2,33980
4,2019,3,7604,2,150,65.7,2,24490
4,2019,3,6782,1,150,48.7,2,25490
4,2019,3,4476,2,145,58.9,2,27290
16,2019,3,7250,2,145,36.7,2,30990
17,2019,3,4362,1,145,39.2,2,27990
4,2018,3,30000,1,150,48.7,2,20590
4,2018,3,16500,1,150,48.7,2,20590
4,2018,3,17000,1,150,48.7,2,20590
19,2019,3,9168,2,150,40.9,3,37990
19,2019,3,3098,2,150,42.8,2,35990
10,2018,2,4477,3,135,141.2,1.5,64980
13,2015,3,37724,1,325,32.5,3,29490
4,2019,2,10,1,145,45.6,2,31980
3,2019,3,3317,2,145,52.3,2,25980
20,2019,3,3536,1,145,27.2,3,51000
13,2019,3,1501,1,145,32.5,3,46000
5,2019,3,5432,2,145,60.1,2,28790
5,2019,3,4237,1,145,50.4,2,26400
7,2019,3,3200,2,145,44.1,3,52490
8,2019,3,1600,1,145,33.2,3,59790
16,2015,3,29135,2,125,57.6,2,17291
3,2015,2,24619,2,20,74.3,2,12567
3,2017,3,24628,1,145,47.9,2,15460
1,2016,3,38478,1,200,39.8,3,18951
5,2014,2,71302,2,30,62.8,2,10270
3,2015,1,61887,2,30,62.8,2,9802
2,2018,1,11141,1,145,42.2,1.5,16347
3,2016,3,28897,2,145,54.3,3,17498
20,2016,2,31664,2,160,50.4,2,27980
19,2017,3,30485,2,150,47.9,3,26491
4,2016,3,33011,2,30,65.7,2,17340
3,2019,3,4602,3,135,8.8,2,35230
21,2018,3,11188,2,150,40.9,3,37980
18,2019,3,6501,2,150,36.7,3,41980
3,2019,3,8127,2,145,48.7,2,29980
5,2019,2,3718,2,145,62.8,2,30980
20,2019,2,3951,2,145,37.7,3,49980
16,2019,3,5163,1,145,39.2,2,25480
17,2019,2,1325,1,145,39.2,2,28980
5,2019,3,2420,3,135,156.9,2,30980
5,2019,3,2215,3,135,156.9,2,30980
4,2016,3,52783,1,235,38.2,3,19480
16,2016,3,28322,2,125,57.6,2,17980
1,2016,1,10937,2,30,65.7,2,14990
16,2017,3,25839,1,160,44.8,2,20991
1,2016,3,21132,1,235,37.7,3,19290
2,2016,3,18586,1,125,51.4,1.5,15690
18,2019,3,6962,2,145,48.7,3,32660
13,2015,3,20100,1,300,34,3,29997
1,2019,1,4630,1,145,44.1,1.5,20980
2,2019,2,6258,3,135,148.7,1.5,21980
1,2019,3,10672,2,145,74.3,2,17980
18,2015,3,37790,2,150,54.3,2,19980
7,2019,3,12038,2,150,44.1,3,47980
18,2019,3,1961,2,150,54.3,2,32980
5,2019,3,4659,2,150,60.1,3,31480
16,2013,1,32543,1,200,40.9,2,12680
1,2016,3,20308,1,145,47.9,1.6,16480
16,2019,3,5845,2,145,50.4,2,27980
3,2019,1,2802,2,145,54.3,2,29480
5,2017,3,26971,2,145,62.8,2,24480
2,2020,1,10,1,145,52.3,1.5,20980
1,2016,3,37529,2,20,68.9,1.5,14480
19,2019,3,2740,2,145,42.8,2,36980
5,2019,3,2019,1,150,48.7,2,31490
3,2019,3,9155,1,145,41.5,2,27480
16,2019,3,9113,2,145,50.4,2,26490
3,2020,3,10,2,145,50.4,2,31980
20,2019,3,11449,2,145,33.6,3,56980
11,2019,3,1287,1,145,29.1,3,45980
17,2019,3,1151,2,145,50.4,2,31980
6,2019,3,10813,2,145,53.3,3,33980
3,2019,3,6113,1,145,42.2,2,27480
18,2019,2,5277,2,145,48.7,3,36490
20,2019,2,8548,2,145,37.7,3,47980
1,2019,2,6993,2,145,67.3,2,19480
20,2019,2,5073,2,145,37.7,3,46980
4,2019,2,5738,2,145,65.7,2,23480
20,2019,3,8371,2,145,37.7,3,46980
1,2019,2,7990,2,145,65.7,2,20990
4,2019,2,6519,2,145,58.9,2,25990
3,2016,1,27779,2,30,64.2,2,14250
3,2016,2,20793,2,145,56.5,3,17647
3,2015,2,27649,1,260,36.7,3,18907
16,2018,2,7283,1,145,39.2,2,21947
24,2020,3,10,1,145,37.2,2,32490
17,2020,3,10,2,145,47.9,2,24990
2,2020,3,10,1,145,50.4,1.5,20980
2,2020,3,10,1,145,50.4,1.5,20980
1,2018,1,8067,1,145,52.3,1.5,17980
1,2017,3,28646,2,145,68.9,2,15490
5,2017,3,15856,1,200,39.2,3,25980
16,2017,3,21330,1,160,44.8,2,20980
4,2015,3,35255,1,160,44.1,2,17980
1,2017,1,39201,1,150,36.2,3,18480
16,2019,3,3737,1,150,48.7,2,26480
4,2019,3,7107,1,150,48.7,2,23480
16,2017,3,31630,2,150,55.4,2,20980
21,2015,3,51447,2,205,47.1,3,26980
4,2018,3,16790,2,150,60.1,2,24990
3,2017,1,14348,1,150,48.7,2,16690
1,2013,1,37233,1,150,49.6,1.6,8990
4,2018,1,9788,2,145,62.8,2,18797
4,2018,1,8269,2,145,62.8,2,18997
4,2014,3,77209,2,125,60.1,2,11870
5,2014,3,62890,2,160,51.4,3,14090
1,2016,1,49811,2,0,83.1,1.5,9891
6,2020,3,11,2,145,53.3,3,37980
3,2019,3,13994,1,145,42.2,2,27490
3,2015,3,30569,2,30,62.8,2,15980
16,2019,3,3782,1,145,48.7,2,27980
16,2016,2,21225,2,125,57.6,2,18187
21,2019,3,2018,1,145,26.4,3,58480
20,2014,2,51252,2,200,45.6,3,23980
6,2020,3,5,1,145,42.8,2,34490
3,2016,3,40146,1,145,47.9,2,13980
1,2019,1,3483,1,145,44.1,1.5,20980
3,2019,3,5966,2,145,52.3,2,26980
3,2019,3,5776,2,145,55.4,2,24480
17,2019,3,4161,2,145,58.9,2,28490
16,2019,3,2372,1,150,48.7,2,26480
17,2019,3,3690,1,150,39.2,2,27980
16,2016,3,36956,2,30,65.7,2,16150
1,2018,1,27500,2,150,62.8,2,16991
16,2016,1,21242,2,20,68.9,2,14991
16,2017,3,16578,2,150,57.6,2,22491
5,2017,3,10131,2,125,60.1,2,24171
3,2017,1,17907,1,150,43.5,2,16891
2,2020,3,9,1,150,50.4,1.5,20980
3,2020,3,104,1,150,40.4,2,32450
1,2019,3,3883,1,145,34.5,2,32990
5,2019,3,3425,2,145,60.1,2,34990
3,2016,2,59695,2,145,56.5,3,14920
3,2016,2,32672,1,125,51.4,1.5,13207
3,2017,2,45646,2,145,56.5,3,17710
16,2018,2,12857,2,145,60.1,2,23310
5,2018,2,19486,3,135,156.9,2,25450
4,2015,3,33802,2,30,65.7,2,16514
1,2016,1,17787,1,125,52.3,1.5,13553
19,2019,3,1852,2,145,40.4,3,37980
5,2020,3,105,3,145,44.8,2,34840
19,2019,3,7414,2,145,42.8,2,35480
5,2015,3,15804,2,160,50.4,3,18995
16,2016,1,18960,2,125,60.1,2,17195
3,2017,2,24624,1,145,51.4,2,15995
3,2015,3,21000,1,160,43.5,2,16350
2,2017,3,29000,2,125,57.6,2,15950
3,2017,3,34700,2,150,64.2,2,15995
4,2016,2,35444,2,30,65.7,2,17029
4,2018,1,17024,1,145,46.3,2,18280
3,2016,2,22186,1,200,43.5,2,18080
1,2017,2,26140,2,145,61.4,2,18690
19,2019,3,10,2,145,40.9,3,40990
18,2019,2,10,2,145,54.3,2,34990
18,2019,3,3934,2,145,54.3,2,37990
3,2019,3,3007,1,150,34.9,3,39980
3,2017,1,18452,2,30,67.3,2,14990
2,2017,3,18847,1,150,55.4,1.5,13990
18,2020,3,6235,2,150,36.7,3,42990
1,2020,3,1129,2,150,51.4,2,28990
5,2019,3,13929,2,150,65.7,2,26990
20,2019,3,102,2,150,37.7,3,51990
20,2019,3,102,2,150,37.7,3,54995
2,2020,3,105,2,145,47.1,2,23990
24,2020,3,11,1,145,38.7,2,29990
3,2020,3,14,2,145,50.4,2,28990
5,2020,3,105,3,145,52.3,2,27980
5,2020,3,103,1,145,50.4,2,28990
3,2018,3,30749,2,145,60.1,2,18500
1,2018,1,24676,2,145,62.8,2,14724
9,2016,2,43695,3,0,470.8,0,16482
2,2014,3,17787,1,260,37.2,3,17998
3,2019,3,8421,2,150,52.3,2,29998
4,2019,2,4469,1,145,48.7,2,24490
2,2019,1,5512,1,145,42.8,1.5,19490
2,2019,1,10250,1,145,42.2,1.5,18480
4,2018,3,10030,2,145,65.7,2,21980
2,2020,3,13,1,145,50.4,1.5,20980
13,2019,3,934,1,150,34,3,49980
1,2016,3,11538,1,200,39.8,3,18990
3,2019,1,3271,2,145,64.2,2,24990
20,2019,3,102,2,150,37.7,3,49990
2,2015,3,38403,2,125,58.9,2,15980
3,2020,1,101,2,150,56.5,2,24990
5,2020,3,103,3,150,44.8,2,33850
3,2015,3,46486,1,150,48.7,2,15990
17,2020,3,103,1,150,34,2,34990
24,2020,3,101,1,150,37.2,2,34990
4,2016,3,39024,2,30,65.7,2,15990
4,2018,3,29101,2,145,65.7,2,21850
1,2019,1,1834,2,145,56.5,2,21990
2,2017,1,22661,2,150,62.8,1.5,17450
18,2019,3,21767,1,150,34.5,3,35990
1,2020,1,3399,2,150,53.3,2,23990
